dt,open,high,low,close,volume
2020-12-02,8.3e-06,8.41e-06,8.08e-06,8.26e-06,86655220.0
2020-12-03,8.26e-06,8.69e-06,8.18e-06,8.45e-06,99546811.0
2020-12-04,8.45e-06,8.47e-06,7.84e-06,7.93e-06,105880150.0
2020-12-05,7.92e-06,8.49e-06,7.87e-06,8.34e-06,61087250.0
2020-12-06,8.35e-06,8.46e-06,8.1e-06,8.19e-06,55401105.0
2020-12-07,8.2e-06,8.2e-06,7.99e-06,8.04e-06,48768352.0
2020-12-08,8.04e-06,8.06e-06,7.55e-06,7.7e-06,94807721.0
2020-12-09,7.71e-06,8.14e-06,7.36e-06,7.98e-06,119987966.0
2020-12-10,7.98e-06,8.03e-06,7.69e-06,7.77e-06,58734042.0
2020-12-11,7.78e-06,7.87e-06,7.64e-06,7.72e-06,67366019.0
2020-12-12,7.72e-06,8.02e-06,7.66e-06,7.68e-06,55568131.0
2020-12-13,7.67e-06,8.09e-06,7.62e-06,8.03e-06,63643238.0
2020-12-14,8.04e-06,8.24e-06,7.84e-06,8.24e-06,61474031.0
2020-12-15,8.24e-06,8.31e-06,7.91e-06,7.92e-06,58924353.0
2020-12-16,7.92e-06,8.02e-06,7.56e-06,7.88e-06,97386706.0
2020-12-17,7.87e-06,8e-06,7e-06,7.16e-06,164866681.0
2020-12-18,7.16e-06,7.31e-06,7.02e-06,7.14e-06,71673474.0
2020-12-19,7.14e-06,7.38e-06,6.87e-06,6.9e-06,78824366.0
2020-12-20,6.9e-06,7.12e-06,6.76e-06,6.91e-06,73284654.0
2020-12-21,6.9e-06,6.96e-06,6.62e-06,6.73e-06,82986998.0
2020-12-22,6.73e-06,6.98e-06,6.54e-06,6.57e-06,81545048.0
2020-12-23,6.57e-06,6.66e-06,5.55e-06,5.88e-06,158358136.0
2020-12-24,5.87e-06,6.58e-06,5.73e-06,6.44e-06,136135454.0
2020-12-25,6.45e-06,6.9e-06,6.25e-06,6.37e-06,124989552.0
2020-12-26,6.38e-06,6.39e-06,5.92e-06,5.98e-06,130821419.0
2020-12-27,5.97e-06,6.15e-06,5.46e-06,5.89e-06,212914966.0
2020-12-28,5.89e-06,6.75e-06,5.79e-06,6.52e-06,195496989.0
2020-12-29,6.5e-06,7.33e-06,6.5e-06,6.97e-06,318839185.0
2020-12-30,6.96e-06,7.05e-06,6.19e-06,6.36e-06,194177568.0
2020-12-31,6.37e-06,6.4e-06,6.11e-06,6.27e-06,94180779.0
2021-01-01,6.28e-06,6.32e-06,5.86e-06,5.97e-06,100165125.0
2021-01-02,5.97e-06,6.02e-06,5.41e-06,5.52e-06,193058318.0
2021-01-03,5.51e-06,6.3e-06,5.03e-06,6.25e-06,257360387.0
2021-01-04,6.25e-06,7.26e-06,6.24e-06,7.04e-06,345934420.0
2021-01-05,7.04e-06,7.91e-06,6.67e-06,7.62e-06,369857420.0
2021-01-06,7.63e-06,9.93e-06,7.42e-06,9.06e-06,747529494.0
2021-01-07,9.06e-06,9.61e-06,7.35e-06,7.58e-06,460189266.0
2021-01-08,7.58e-06,8.2e-06,7.1e-06,7.49e-06,336265419.0
2021-01-09,7.48e-06,8.37e-06,7.47e-06,8.25e-06,221926736.0
2021-01-10,8.25e-06,8.39e-06,7.69e-06,7.9e-06,234284886.0
2021-01-11,7.9e-06,8.05e-06,7.48e-06,7.77e-06,296537684.0
2021-01-12,7.77e-06,8.67e-06,7.65e-06,8.49e-06,234407603.0
2021-01-13,8.49e-06,8.7e-06,8.21e-06,8.35e-06,197537082.0
2021-01-14,8.36e-06,8.42e-06,7.75e-06,7.97e-06,167388191.0
2021-01-15,7.98e-06,8.54e-06,7.85e-06,8.22e-06,186574095.0
2021-01-16,8.22e-06,9.8e-06,8.18e-06,9.74e-06,380844436.0
2021-01-17,9.73e-06,1.088e-05,9.58e-06,1.063e-05,420797930.0
2021-01-18,1.063e-05,1.108e-05,9.9e-06,1.014e-05,206301968.0
2021-01-19,1.012e-05,1.035e-05,9.86e-06,1.023e-05,172341705.0
2021-01-20,1.023e-05,1.067e-05,9.69e-06,1.058e-05,142386136.0
2021-01-21,1.059e-05,1.079e-05,9.95e-06,9.98e-06,224999416.0
2021-01-22,9.98e-06,1.091e-05,9.5e-06,1.059e-05,217191054.0
2021-01-23,1.058e-05,1.097e-05,1.055e-05,1.078e-05,93883953.0
2021-01-24,1.078e-05,1.127e-05,1.061e-05,1.096e-05,133213533.0
2021-01-25,1.095e-05,1.109e-05,1.031e-05,1.064e-05,112477629.0
2021-01-26,1.064e-05,1.083e-05,1.048e-05,1.057e-05,73067451.0
2021-01-27,1.056e-05,1.06e-05,1.016e-05,1.026e-05,89751450.0
2021-01-28,1.025e-05,1.108e-05,1.016e-05,1.032e-05,118107607.0
2021-01-29,1.031e-05,1.086e-05,9.43e-06,1.015e-05,251326285.0
2021-01-30,1.015e-05,1.11e-05,9.92e-06,1.063e-05,173273595.0
2021-01-31,1.061e-05,1.106e-05,1.034e-05,1.041e-05,115288313.0
2021-02-01,1.042e-05,1.259e-05,1.018e-05,1.219e-05,306019644.0
2021-02-02,1.22e-05,1.307e-05,1.154e-05,1.198e-05,476803661.0
2021-02-03,1.198e-05,1.217e-05,1.139e-05,1.174e-05,169772874.0
2021-02-04,1.175e-05,1.209e-05,1.105e-05,1.188e-05,173722434.0
2021-02-05,1.19e-05,1.484e-05,1.184e-05,1.401e-05,456748381.0
2021-02-06,1.408e-05,1.676e-05,1.316e-05,1.617e-05,479408256.0
2021-02-07,1.618e-05,1.8e-05,1.553e-05,1.705e-05,628715501.0
2021-02-08,1.704e-05,1.782e-05,1.38e-05,1.461e-05,415647853.0
2021-02-09,1.46e-05,1.529e-05,1.405e-05,1.52e-05,286700107.0
2021-02-10,1.52e-05,2.107e-05,1.518e-05,2.098e-05,620339183.0
2021-02-11,2.097e-05,2.11e-05,1.86e-05,1.933e-05,379007474.0
2021-02-12,1.935e-05,1.98e-05,1.843e-05,1.953e-05,233748727.0
2021-02-13,1.954e-05,1.999e-05,1.76e-05,1.935e-05,197556604.0
2021-02-14,1.935e-05,1.948e-05,1.664e-05,1.735e-05,238839590.0
2021-02-15,1.735e-05,1.873e-05,1.486e-05,1.796e-05,301523916.0
2021-02-16,1.797e-05,1.864e-05,1.732e-05,1.771e-05,195512360.0
2021-02-17,1.771e-05,1.774e-05,1.631e-05,1.712e-05,164533393.0
2021-02-18,1.711e-05,1.847e-05,1.705e-05,1.774e-05,209234302.0
2021-02-19,1.775e-05,1.805e-05,1.656e-05,1.656e-05,173853726.0
2021-02-20,1.656e-05,2.145e-05,1.639e-05,1.996e-05,526928735.0
2021-02-21,1.998e-05,2.034e-05,1.857e-05,1.915e-05,225216757.0
2021-02-22,1.914e-05,2.095e-05,1.705e-05,2.027e-05,337318931.0
2021-02-23,2.03e-05,2.12e-05,1.8e-05,1.966e-05,411887436.0
